,cut_off,new_ratio
0,1,43.8
1,2,45.8
2,3,46.8
3,4,47.8
4,5,48.7
5,6,49.3
6,7,50.4
7,8,51.3
8,9,52.2
9,10,53.0
10,11,53.4
11,12,53.9
12,13,54.5
13,14,55.0
14,15,55.9
15,16,56.7
16,17,57.0
17,18,57.4
18,19,57.8
19,20,57.9
20,21,58.4
21,22,58.7
22,23,58.8
23,24,59.0
24,25,59.4
25,26,59.6
26,27,60.0
27,28,60.8
28,29,60.9
29,30,61.1
30,31,61.8
31,32,62.3
32,33,62.7
33,34,62.7
34,35,63.0
35,36,63.3
36,37,63.5
37,38,63.8
38,39,64.2
39,40,64.5
40,41,64.9
41,42,64.9
42,43,65.4
43,44,65.6
44,45,65.6
45,46,65.6
46,47,66.1
47,48,66.2
48,49,66.5
49,50,66.8
50,51,67.0
51,52,67.6
52,53,67.6
53,54,67.6
54,55,67.9
55,56,68.0
56,57,68.3
57,58,68.3
58,59,69.1
59,60,69.3
60,61,70.1
61,62,70.6
62,63,70.8
63,64,71.0
64,65,71.0
65,66,71.3
66,67,71.3
67,68,71.5
68,69,71.8
69,70,72.2
70,71,72.3
71,72,72.7
72,73,72.9
73,74,73.2
74,75,73.4
75,76,73.4
76,77,73.4
77,78,73.6
78,79,73.9
79,80,74.1
80,81,74.1
81,82,74.1
82,83,74.3
83,84,74.7
84,85,74.7
85,86,74.7
86,87,74.9
87,88,74.9
88,89,74.9
89,90,75.1
90,91,75.3
91,92,76.0
92,93,76.4
93,94,76.4
94,95,76.4
95,96,76.4
96,97,76.4
97,98,76.6
98,99,76.8
99,100,76.8
